TC ID,Testcase title,Expected result,Actual result,Status (Passed/Failed),Run type (Manual / Automatic),Tested by,Date started,Pre-conditions,Test step details,Test data,Note
TC_ORDER_01,Đặt hàng nhưng giỏ hàng trống,"Báo lỗi ""Giỏ hàng trống""","Ném ra Exception ""Giỏ hàng trống""",Passed,Automatic,Antigravity Bot,7/30/2026,Giỏ hàng của user rỗng,"1. Khởi tạo mockCart rỗng
2. Mock cartService trả về mockCart
3. Gọi orderService.placeOrder()
4. Kiểm tra văng Exception","username=""testuser""",
TC_ORDER_02,Đặt hàng bình thường,Tạo Order thành công,"Tạo Order thành công, gọi deductStock, gọi clearCart",Passed,Automatic,Antigravity Bot,7/30/2026,"Giỏ hàng có SP, kho đủ hàng","1. Mock cartService trả về Cart có hàng
2. Mock orderRepository.save() trả về Order có ID=1
3. Gọi orderService.placeOrder()
4. Verify orderDetailRepository.save() được gọi
5. Verify inventoryService.deductStock() được gọi
6. Verify cartService.clearCart() được gọi","address=""Addr""",
TC_ORDER_03,Đặt hàng có dùng Voucher,Giảm trừ đúng số tiền Voucher,"Giảm giá 50k, tổng tiền 150k",Passed,Automatic,Antigravity Bot,7/30/2026,"Giỏ hàng 200k, Voucher giảm 50k","1. Mock userRepository trả về User
2. Mock voucherService.validateAndGetDiscount trả về 50.000
3. Gọi orderService.placeOrder() với mã Voucher
4. Kiểm tra assert discountAmount = 50.000","voucherCode=""VOUCHER50""",
TC_ORDER_04,Đặt hàng có dùng Điểm thưởng (Đủ điểm),"Trừ đúng số điểm, tính lại giá","Giảm giá 50k, tổng tiền 150k",Passed,Automatic,Antigravity Bot,7/30/2026,"Giỏ hàng 200k, Điểm dùng 50000","1. Mock userRepository trả về User
2. Mock pointService.getCurrentPoints trả về 100.000
3. Gọi orderService.placeOrder() với 50.000 điểm
4. Verify pointService.spendPoints() được gọi
5. Kiểm tra assert discountAmount = 50.000",pointsToUse=50000,
TC_ORDER_05,Đặt hàng dùng Điểm thưởng (Không đủ điểm),"Báo lỗi ""không đủ X điểm""","Ném ra Exception ""không đủ điểm""",Passed,Automatic,Antigravity Bot,7/30/2026,Điểm hiện tại < Điểm yêu cầu,"1. Mock userRepository trả về User
2. Mock pointService.getCurrentPoints trả về 10.000
3. Gọi orderService.placeOrder() với 50.000 điểm
4. Kiểm tra văng Exception",pointsToUse=50000,
TC_ORDER_06,Đặt hàng được giảm giá tự động theo Hạng VIP,Được giảm % hóa đơn,"Giảm 10% (20k), tổng tiền 180k",Passed,Automatic,Antigravity Bot,7/30/2026,User hạng VIP,"1. Mock userRepository trả về User có hạng VIP
2. Mock pointTierRepository trả về Tier VIP (-10%)
3. Gọi orderService.placeOrder()
4. Kiểm tra assert discountAmount = 20.000","tierCode=""VIP""",
TC_ORDER_07,Lấy đơn hàng đúng chủ sở hữu,Trả về thông tin Order,Trả về Order ID=1,Passed,Automatic,Antigravity Bot,7/30/2026,Order thuộc về user,"1. Mock orderRepository.findByIdWithDetails trả về Order ID=1 của User ID=1
2. Gọi orderService.getOrderByIdAndUser()
3. Kiểm tra assertNotNull result","orderId=1, userId=1",
TC_ORDER_08,Lấy đơn hàng sai chủ sở hữu,"Báo lỗi ""Không có quyền truy cập""","Ném ra Exception ""quyền truy cập""",Passed,Automatic,Antigravity Bot,7/30/2026,Order không thuộc user query,"1. Mock orderRepository trả về Order của User ID=1
2. Gọi orderService.getOrderByIdAndUser() với User ID=2
3. Kiểm tra văng Exception","orderId=1, userId=2",
TC_ORDER_09,Lấy đơn hàng mã không tồn tại,"Báo lỗi ""không tồn tại""","Ném ra Exception ""không tồn tại""",Passed,Automatic,Antigravity Bot,7/30/2026,orderId sai,"1. Mock orderRepository trả về Optional.empty()
2. Gọi orderService.getOrderByIdAndUser()
3. Kiểm tra văng Exception",orderId=99,
TC_ORDER_10,Cập nhật thông tin nhận hàng (đơn PENDING),"Thông tin Address, Phone cập nhật",Thông tin lưu thành công,Passed,Automatic,Antigravity Bot,7/30/2026,Đơn hàng PENDING,"1. Mock Order trạng thái PENDING
2. Gọi orderService.updateOrderInfo()
3. Verify orderRepository.save() được gọi
4. Kiểm tra thông tin đã thay đổi","phone=""098"", addr=""New Addr""",
TC_ORDER_11,Sửa đơn hàng khi trạng thái không cho phép,"Báo lỗi ""không thể thay đổi thông tin""",Ném ra Exception,Passed,Automatic,Antigravity Bot,7/30/2026,Đơn hàng CONFIRMED,"1. Mock Order trạng thái CONFIRMED
2. Gọi orderService.updateOrderInfo()
3. Kiểm tra văng Exception",orderId=1,
TC_ORDER_12,Hủy đơn hàng (đơn PENDING),Trạng thái chuyển sang CANCEL_REQUESTED,Trạng thái lưu thành CANCEL_REQUESTED,Passed,Automatic,Antigravity Bot,7/30/2026,Đơn hàng PENDING,"1. Mock Order trạng thái PENDING
2. Gọi orderService.cancelOrder()
3. Verify orderRepository.save() được gọi
4. Kiểm tra status = CANCEL_REQUESTED",orderId=1,
